City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,adamstown,-25.066,-130.1015,21.9,71,7,6.39,PN,1686167186
83,niebull,54.7866,8.8285,12.98,85,2,2.83,DE,1686167186
84,sitka,57.0531,-135.33,13.94,72,75,2.57,US,1686167100
85,hithadhoo,-0.6,73.0833,28.15,68,28,1.14,MV,1686167186
86,saint-philippe,-21.3585,55.7679,21.77,85,47,4.91,RE,1686167186
87,port shepstone,-30.7414,30.455,22.56,41,0,3.44,ZA,1686167186
88,tiksi,71.6872,128.8694,2.31,86,91,1.63,RU,1686167186
89,selfoss,63.9331,-20.9971,8.36,73,90,5.49,IS,1686167187
90,vila franca do campo,37.7167,-25.4333,19.23,79,47,8.26,PT,1686167187
91,kanpur,26.4667,80.35,33.88,21,33,1.64,IN,1686166887
92,invercargill,-46.4,168.35,4.47,92,88,2.53,NZ,1686167188
93,yellowknife,62.456,-114.3525,10.29,87,100,2.57,CA,1686167175
94,ouadda,8.0777,22.4007,20.56,96,100,2.73,CF,1686167188
95,dudinka,69.4058,86.1778,8.68,95,72,3.83,RU,1686167190
96,pacific grove,36.6177,-121.9166,17.97,79,100,3.13,US,1686167190
97,okotoks,50.7289,-113.9828,28.5,37,30,0.89,CA,1686167190
98,fuglafjordur,62.244,-6.814,9.26,86,100,3.78,FO,1686167190
99,kerman,30.2832,57.0788,22.92,35,75,0.0,IR,1686167190
100,halifax,44.6453,-63.5724,14.27,89,66,5.14,CA,1686166613
101,port elizabeth,-33.918,25.5701,14.62,89,20,5.66,ZA,1686167190
102,kodiak,57.79,-152.4072,8.73,87,100,4.63,US,1686167191
103,coreau,-3.5333,-40.6567,27.68,73,94,0.86,BR,1686167025
104,shahr-e babak,30.1165,55.1186,24.82,29,58,4.65,IR,1686167191
105,lerwick,60.1545,-1.1494,11.0,84,100,3.67,GB,1686166964
106,peterhead,57.5058,-1.7981,12.22,76,5,2.5,GB,1686167191
107,magadan,59.5667,150.8,7.69,70,13,0.54,RU,1686167191
108,kargasok,59.0556,80.8572,17.35,79,95,3.6,RU,1686167191
109,avarua,-21.2078,-159.775,24.03,73,75,2.57,CK,1686167191
110,ust-nera,64.5667,143.2,7.09,96,100,0.09,RU,1686167192
111,turbat,26.0023,63.044,32.21,56,4,3.77,PK,1686167192
112,whitehorse,60.7161,-135.0538,14.43,50,20,5.14,CA,1686166991
113,vega de alatorre,20.0333,-96.6333,31.02,66,14,6.03,MX,1686167192
114,mar del plata,-38.0023,-57.5575,17.01,71,0,3.6,AR,1686167192
115,scottburgh,-30.2867,30.7532,21.37,36,0,3.77,ZA,1686167192
116,fort st. john,56.2499,-120.8529,18.94,34,40,3.09,CA,1686167192
117,gokwe,-18.2048,28.9349,15.02,39,0,0.88,ZW,1686167192
118,broken hill,-31.95,141.4333,10.28,60,4,5.61,AU,1686167193
119,sines,37.9562,-8.8698,20.16,90,9,6.22,PT,1686167193
120,bredasdorp,-34.5322,20.0403,12.59,82,100,2.09,ZA,1686167193
121,weno,7.4515,151.8468,25.97,100,100,2.06,FM,1686167193
122,prince rupert,54.3161,-130.3201,17.05,69,0,6.69,CA,1686166907
